epoch,acc,loss,val_acc,val_loss
0,0.81810106257808968,0.45752805265340402,0.81016,0.47724
1,0.83400531810648892,0.42098840397406134,0.839152,0.409278
2,0.8391781902693688,0.40869087638690116,0.841352,0.402851
3,0.84311967913774732,0.39999647026366375,0.847104,0.391668
4,0.84695212622272209,0.3859145107104423,0.849312,0.377684
5,0.85031914917078422,0.3658989906469558,0.830768,0.408392
6,0.85158510680528399,0.35795499986790597,0.855312,0.350782
7,0.85228723572923781,0.35241362539694665,0.792496,0.514298
8,0.85505585023697384,0.34336280878236952,0.855096,0.346367
9,0.85733510458723028,0.33476774212210736,0.854216,0.362405
10,0.85947872428817951,0.32230966894867574,0.855688,0.345865
11,0.86006382947906534,0.32273991429742349,0.834472,0.382408
12,0.86148670030401109,0.31636268558337333,0.853944,0.365031
13,0.86266489231840093,0.31299467693935051,0.856544,0.332775
14,0.86371276432529409,0.30987408000262495,0.856624,0.343877
15,0.86645212769508362,0.29771906034426487,0.848032,0.389037
16,0.86584042535817374,0.30301880491699312,0.859112,0.337492
17,0.86958510555485458,0.29142793929798805,0.815704,0.451236
18,0.870231382865855,0.29240546363623854,0.782088,0.697141
19,0.8700585100562015,0.29555574982882815,0.776864,0.53847
20,0.87428191494434437,0.28218333649032928,0.853936,0.394976
