epoch,acc,loss,val_acc,val_loss
0,0.80999201980042967,0.47929256583781954,0.827928,0.438684
1,0.83953457531776832,0.39328823183128175,0.847248,0.397898
2,0.84586436158799105,0.36503859387433274,0.85296,0.366657
3,0.85212499965378574,0.34152458988605661,0.850408,0.40634
4,0.86506117166990926,0.30731656418201769,0.883256,0.283132
5,0.88405053206580753,0.26635648936350292,0.901048,0.242803
6,0.89805053190347994,0.23874209460584409,0.915256,0.206755
7,0.90814893724436452,0.21762409116676512,0.919352,0.196657
8,0.91355053319575941,0.20630386574788295,0.924248,0.185664
9,0.91860372557284986,0.19381193563025048,0.923912,0.186612
10,0.92334574540244774,0.1834368773914398,0.923136,0.192387
11,0.92603457544712309,0.17875659862097273,0.92456,0.186686
12,0.93040159645866838,0.1683714768670975,0.924656,0.18505
13,0.93288298014630666,0.16341211585367613,0.924112,0.179984
