epoch,acc,loss,val_acc,val_loss
0,0.80285829219265259,0.47696453808010486,0.828551,0.420684
1,0.82902576545202411,0.41599015913147858,0.834444,0.396484
2,0.83586956644595722,0.39386755271234375,0.846739,0.365284
3,0.84096618512594379,0.37775019948609212,0.847923,0.355868
4,0.8452012893082439,0.36287677547206049,0.852512,0.343821
5,0.85038647501940889,0.34527064893460696,0.859372,0.316737
6,0.85940418784745076,0.32520321616228076,0.86942,0.290096
7,0.86768116025725039,0.30264012395567746,0.883092,0.274597
8,0.87809178602676263,0.2810325845476126,0.893285,0.25295
9,0.88632044863201764,0.26086491240779369,0.898816,0.244809
10,0.89351851621495737,0.24697762065463597,0.906884,0.226525
11,0.9003140075963092,0.23267367818121365,0.903623,0.253683
12,0.90510466997174244,0.2211842759123939,0.89628,0.283109
13,0.90929951692740896,0.21135011210965648,0.912681,0.216565
14,0.91231884184666878,0.20441447335164903,0.912778,0.214001
15,0.9186876024600964,0.19026073806239788,0.911425,0.218849
16,0.92242351313528037,0.18244807003440872,0.912826,0.23107
17,0.92608695905565641,0.17468390117088953,0.911932,0.222614
18,0.92984702285745102,0.16684071459296054,0.913889,0.217103
19,0.93252818164042228,0.15973884545134653,0.911353,0.229146
20,0.93619967802711157,0.15223932380213637,0.914565,0.21924
21,0.94038647038925094,0.14401591917118972,0.913527,0.231836
