epoch,acc,loss,val_acc,val_loss
0,0.80055319097764943,0.48070849406909433,0.829136,0.44238
1,0.8277074464775146,0.42148020269071801,0.835088,0.417537
2,0.83221808488064619,0.40719508149839462,0.838192,0.432243
3,0.83896010590994607,0.38653963828023447,0.834688,0.418205
4,0.84165957395700697,0.37677184000928349,0.83156,0.409413
5,0.84558244540970373,0.3686488413430275,0.831968,0.396252
6,0.84651861641001191,0.36532598559526686,0.834144,0.39689
7,0.85214095768776343,0.34859731087976314,0.839696,0.381625
8,0.85110372463439377,0.35296193161543382,0.837528,0.391601
9,0.85700531985531458,0.33822087380797305,0.834832,0.383317
10,0.85845744657389667,0.33624350010080539,0.839224,0.387496
11,0.86246010581863686,0.32708697884957844,0.83088,0.3965
12,0.86596010577805493,0.32007255674676693,0.835704,0.385173
13,0.86779787153639687,0.31833125413098234,0.836152,0.383938
14,0.87213829809680898,0.30750164032933558,0.829416,0.411528
