epoch,acc,loss,val_acc,val_loss
0,0.82799468145091482,0.42171885237256262,0.849105,0.364333
1,0.84993617185886872,0.3495513917759378,0.869553,0.296417
2,0.87645212709903719,0.28266011580349282,0.906845,0.219386
3,0.89876329556424572,0.23869347918699396,0.91476,0.203284
4,0.9082712762216304,0.21684763421641384,0.918938,0.193156
5,0.91589361838203798,0.2005328979937637,0.926805,0.177955
6,0.92161968252126203,0.18872925012194094,0.928187,0.174765
7,0.92729521415969163,0.17562882670776006,0.925527,0.186604
8,0.93144149041556301,0.16628692887247876,0.928978,0.17282
9,0.93603723337675659,0.15581131348426039,0.928514,0.173656
10,0.93985372125468358,0.14748284619182667,0.927212,0.17832
11,0.94402127383237189,0.13674126392468175,0.928291,0.184395
12,0.94727925138270597,0.12944326697591138,0.92901,0.183078
13,0.95055318664997179,0.12182731245981251,0.928562,0.180234
14,0.9534946759330466,0.11641522503081471,0.92972,0.182146
15,0.9560638252407947,0.11022832074420566,0.925958,0.193945
