epoch,acc,loss,val_acc,val_loss
0,0.81831117053615288,0.46216529758369668,0.825792,0.435092
1,0.82755850842024414,0.4350178804486356,0.827536,0.433098
2,0.83090425425387449,0.42645531591582808,0.830024,0.427824
3,0.83273404075744306,0.42005362607380176,0.831,0.424495
4,0.83445212736408758,0.41638665931656005,0.831576,0.423516
5,0.83780319037589623,0.40789514526407772,0.83224,0.422602
6,0.83930851106948046,0.4032966675276452,0.833912,0.420021
7,0.84085372264714953,0.39864896000065703,0.83248,0.421044
8,0.84255053277345415,0.39432421421751063,0.834824,0.418767
9,0.84429255413248183,0.38954150248715219,0.834808,0.419814
10,0.84630319048115543,0.38513159625073695,0.838816,0.411042
11,0.8480558507937066,0.38099821966062203,0.839136,0.411429
12,0.84982978742807469,0.37722577368642424,0.839744,0.409404
13,0.85098936028302985,0.37388595288738291,0.840536,0.406574
14,0.85218882972889753,0.37107239687379373,0.839784,0.407852
15,0.85388031871394909,0.36570084633979394,0.839656,0.409445
16,0.85486701939334264,0.36265241941238974,0.838584,0.417185
17,0.85675265988770954,0.35851426446374429,0.840448,0.412672
18,0.85820744630504164,0.35448773347950996,0.8404,0.42225
19,0.85920744690489259,0.35246376558504205,0.838208,0.423415
20,0.86025531954587775,0.34929266223248018,0.83952,0.418577
