epoch,acc,loss,val_acc,val_loss
0,0.7988723401535065,0.5230731141377003,0.810912,0.474436
1,0.80614893550568434,0.47107629810876034,0.813856,0.496246
2,0.82005053203790745,0.44737604197035447,0.815944,0.46977
3,0.82688031773617932,0.43260908800553766,0.83484,0.42844
4,0.84053457433238943,0.4046441689926259,0.8412,0.41913
5,0.84380585097886152,0.39534633020137216,0.841472,0.401497
6,0.84802393551836619,0.37991193285647856,0.84596,0.390968
7,0.85012499924669871,0.36907379051789324,0.847944,0.378554
8,0.85107978576041288,0.36144710966247195,0.849768,0.362355
9,0.85301329718625296,0.35505855321250063,0.851704,0.355174
10,0.85401063697769286,0.34992622330467754,0.851248,0.351957
11,0.85480585187039482,0.3458220310350682,0.853744,0.356966
12,0.85540691525378121,0.34199478683319495,0.851128,0.359576
13,0.85655585058191985,0.33854213642313125,0.853032,0.34534
14,0.85744148920825192,0.33527073501906496,0.852248,0.367162
15,0.85819946768436028,0.3322995879707184,0.854184,0.351026
16,0.8585638286585503,0.32972784562313812,0.853992,0.352788
17,0.8595877665471523,0.32692741784960666,0.855792,0.339584
18,0.85980584995543707,0.32506171423704067,0.854504,0.357625
19,0.86112499807743315,0.32248646781799639,0.85312,0.361413
20,0.86125000011413655,0.32110189900119251,0.853024,0.371615
21,0.86185106397309197,0.31848245890850718,0.848816,0.379446
22,0.86214361609296597,0.31733405280937538,0.84844,0.378249
23,0.86285372173532526,0.31464642516158997,0.84988,0.374598
24,0.86335904293871946,0.31316413861164388,0.834184,0.4114
