epoch,acc,loss,val_acc,val_loss
0,0.81046774046074954,0.49387366300629032,0.813195,0.463485
1,0.82322580775906962,0.44856190633389259,0.823171,0.448308
2,0.82583064369616965,0.43627181793412856,0.826488,0.441582
3,0.82699193493012457,0.42876455356036464,0.827415,0.43895
4,0.82946774459654282,0.42156082391738892,0.827707,0.436736
5,0.83144354627978412,0.41551778777953119,0.829317,0.431668
6,0.83253225732234215,0.41163753333591646,0.828415,0.438464
7,0.83369354663356654,0.40709492540167225,0.827268,0.441266
8,0.83510483657160117,0.4037696204839214,0.828512,0.442777
9,0.83743548297112991,0.39848404329630638,0.828073,0.440858
10,0.83909677353597456,0.39554385480380827,0.829122,0.438342
11,0.84011290342577039,0.39203098752806265,0.82978,0.437751
12,0.84053225671091392,0.38995804637670517,0.828463,0.441059
