epoch,acc,loss,val_acc,val_loss
0,0.80559581273419845,0.46947941304021029,0.835845,0.416673
1,0.83169082243853332,0.41412563355648574,0.836425,0.406083
2,0.83768116132072779,0.393679634384487,0.84,0.3948
3,0.83917069271950717,0.3806167075983376,0.844324,0.379803
4,0.8444122395653656,0.36643799937865584,0.839034,0.377033
5,0.84655394684673313,0.35517581884603761,0.852536,0.34862
6,0.85147343136838094,0.34209781966731551,0.850942,0.340196
7,0.85811594421352932,0.32649205555470479,0.865749,0.304579
8,0.86442834263646473,0.3113197773311065,0.876449,0.284036
9,0.87212560526222804,0.29160313262647669,0.889203,0.264089
10,0.8816505613918274,0.27575776117723344,0.897343,0.255955
11,0.88739935307495066,0.26317754618211647,0.897053,0.247229
12,0.89349436164862095,0.24948001970895439,0.905894,0.23095
13,0.89723832288609995,0.24065273297101786,0.90587,0.232851
14,0.90173912883380758,0.23167031888224651,0.908502,0.217631
15,0.90442834048263498,0.22461377986483336,0.901498,0.228947
16,0.91009661924819818,0.21602962831944084,0.896715,0.234791
17,0.91179549070180133,0.20880294384827744,0.912826,0.21673
18,0.91513687813723532,0.20200881204791307,0.911957,0.218151
19,0.91692431623809001,0.1979050546908532,0.914662,0.217383
20,0.92045088858612112,0.19290967391212974,0.914444,0.215087
21,0.92206924501056642,0.18826475511522492,0.916111,0.212895
22,0.92433977654974631,0.18138529892992858,0.914807,0.214397
23,0.92732689346092334,0.17500087604430561,0.91372,0.214217
24,0.92888083934016086,0.17101794238923637,0.917319,0.203919
25,0.93041868121535687,0.16699903797892174,0.915193,0.209205
26,0.93197262613477727,0.16619318572507388,0.917246,0.205386
27,0.93359098227127735,0.15887008476612458,0.91686,0.205419
28,0.93533011296713031,0.15670768261531701,0.913188,0.24225
29,0.93785829196613579,0.15179366741971309,0.917101,0.210712
