epoch,acc,loss,val_acc,val_loss
0,0.80528723305844241,0.49509193304371324,0.817688,0.440093
1,0.83810638287600048,0.39576311718593254,0.84464,0.399206
2,0.84557180835845625,0.36594263495917018,0.853992,0.371541
3,0.8524574463037734,0.34123170027073396,0.862872,0.33835
4,0.86482446719991402,0.30975697784030692,0.878672,0.312098
5,0.8801223405815185,0.27538751248032489,0.897128,0.244214
0,0.81602925474339338,0.45200217689605471,0.816456,0.439904
1,0.84077659376124114,0.38501454144716263,0.847592,0.380527
2,0.84879521328084018,0.35263541332901793,0.854904,0.375007
3,0.8591888290136418,0.32188365251777018,0.873616,0.312149
4,0.87728191404900657,0.27968782709634049,0.896016,0.250502
5,0.89570744668549684,0.24269799793020208,0.910864,0.216177
6,0.90752925644529625,0.21822221105561612,0.918432,0.196213
7,0.91397872345244635,0.20420622702767241,0.920728,0.194496
8,0.9195771269658779,0.19354587408931964,0.925344,0.182887
9,0.92494415095511906,0.18000175776158242,0.924904,0.183925
10,0.92884574354963101,0.17108636749710174,0.925464,0.184497
11,0.93294680958732645,0.162687196594445,0.923584,0.195873
12,0.93659840444935127,0.15426686483415517,0.927976,0.185244
13,0.94029521355603607,0.1467700014881631,0.927816,0.188229
14,0.94476063739746174,0.13479698229422596,0.92752,0.186097
15,0.94681648957602527,0.13311759830313794,0.92816,0.192656
